Model,MAE,MSE,RMSE,R2
Linear Regression,111903797744859.73,2.3339394416861547e+30,1527723614298789.0,-3.0428164052517664e+20
Random Forest,17552.822064962013,851313627.9503231,29177.27931028394,0.8890120700273948
